Country,Clicks,Impressions,CTR,Position
United States,7,525,1.33%,22.33
India,1,10,10%,13.4
Brazil,0,26,0%,4.54
United Kingdom,0,24,0%,44.21
Malaysia,0,14,0%,9.71
Canada,0,12,0%,4.75
Argentina,0,10,0%,4.9
Spain,0,9,0%,3.67
France,0,9,0%,14.89
Mexico,0,8,0%,6
Philippines,0,8,0%,47
Netherlands,0,6,0%,3.67
South Africa,0,6,0%,36.5
Indonesia,0,5,0%,6
Italy,0,5,0%,6.2
Switzerland,0,5,0%,34.8
Portugal,0,4,0%,5
Dominican Republic,0,4,0%,5.25
Germany,0,4,0%,47
Egypt,0,3,0%,1.67
Vietnam,0,3,0%,3.67
United Arab Emirates,0,3,0%,4.33
Ecuador,0,3,0%,4.67
Bulgaria,0,3,0%,5
Colombia,0,3,0%,5.67
Peru,0,3,0%,7.33
Bangladesh,0,3,0%,21.33
Turkey,0,2,0%,2.5
Ukraine,0,2,0%,3
Romania,0,2,0%,4
Denmark,0,2,0%,4.5
Russia,0,2,0%,4.5
Czechia,0,2,0%,6.5
Morocco,0,2,0%,6.5
Saudi Arabia,0,2,0%,6.5
Venezuela,0,2,0%,7.5
Jamaica,0,2,0%,9
South Korea,0,1,0%,1
Luxembourg,0,1,0%,1
Sri Lanka,0,1,0%,2
Panama,0,1,0%,2
Ireland,0,1,0%,3
Slovakia,0,1,0%,4
Hong Kong,0,1,0%,5
Kosovo,0,1,0%,5
Algeria,0,1,0%,6
Palestine,0,1,0%,6
Sweden,0,1,0%,6
New Zealand,0,1,0%,7
Israel,0,1,0%,8
Bosnia & Herzegovina,0,1,0%,9
Chile,0,1,0%,9
Latvia,0,1,0%,9
Malta,0,1,0%,10
Puerto Rico,0,1,0%,10
Singapore,0,1,0%,20
Azerbaijan,0,1,0%,37
