Country,Clicks,Impressions,CTR,Position
United States,28,5824,0.48%,19.6
Canada,2,102,1.96%,15.65
India,1,66,1.52%,15.29
Germany,0,55,0%,12.09
Brazil,0,48,0%,9.73
Netherlands,0,43,0%,5.95
United Kingdom,0,39,0%,22.18
Australia,0,27,0%,12.7
Mexico,0,25,0%,14.4
Sweden,0,23,0%,10.43
Italy,0,21,0%,7.9
Philippines,0,21,0%,14.62
Portugal,0,17,0%,5.82
Argentina,0,16,0%,10.88
Spain,0,16,0%,13.75
South Africa,0,13,0%,30.85
China,0,12,0%,8.5
Vietnam,0,12,0%,11.17
Indonesia,0,11,0%,7.82
France,0,11,0%,10.09
New Zealand,0,10,0%,24.2
Colombia,0,9,0%,5.67
Peru,0,8,0%,6.88
Malaysia,0,8,0%,9.25
Ukraine,0,8,0%,15.75
Japan,0,7,0%,7.57
Switzerland,0,7,0%,14.43
Hong Kong,0,7,0%,24.57
Ecuador,0,6,0%,4.33
Russia,0,6,0%,7
Bangladesh,0,6,0%,8
Austria,0,6,0%,13.83
Chile,0,6,0%,17.67
Romania,0,6,0%,34.5
Poland,0,5,0%,35.4
Singapore,0,4,0%,6.25
Costa Rica,0,4,0%,6.5
Jamaica,0,4,0%,7.25
Turkey,0,4,0%,7.25
Lithuania,0,4,0%,8.75
United Arab Emirates,0,4,0%,25.5
Nigeria,0,4,0%,26
Puerto Rico,0,3,0%,3.67
El Salvador,0,3,0%,3.67
Israel,0,3,0%,5.33
South Korea,0,3,0%,6.33
Paraguay,0,3,0%,6.67
Saudi Arabia,0,3,0%,15.33
Croatia,0,3,0%,18.33
Serbia,0,2,0%,2.5
Barbados,0,2,0%,3
Thailand,0,2,0%,3
Venezuela,0,2,0%,3
Greece,0,2,0%,4.5
Taiwan,0,2,0%,6
Denmark,0,2,0%,6.5
Iran,0,2,0%,6.5
Lebanon,0,2,0%,7
Nepal,0,2,0%,7.5
Pakistan,0,2,0%,7.5
Ethiopia,0,2,0%,8
Kenya,0,2,0%,8.5
Cambodia,0,2,0%,9.5
Norway,0,2,0%,11.5
Morocco,0,2,0%,15
Kuwait,0,2,0%,20
Honduras,0,2,0%,21.5
Algeria,0,2,0%,28
Kazakhstan,0,2,0%,38
Guyana,0,2,0%,45.5
Belgium,0,2,0%,46
Hungary,0,2,0%,46
Oman,0,1,0%,2
Papua New Guinea,0,1,0%,3
Nicaragua,0,1,0%,4
Qatar,0,1,0%,4
Czechia,0,1,0%,5
Panama,0,1,0%,5
Angola,0,1,0%,6
Dominican Republic,0,1,0%,7
South Sudan,0,1,0%,7
Slovenia,0,1,0%,7
Trinidad & Tobago,0,1,0%,7
Cape Verde,0,1,0%,8
Guatemala,0,1,0%,8
Tonga,0,1,0%,8
Georgia,0,1,0%,9
Slovakia,0,1,0%,9
Cayman Islands,0,1,0%,10
Guam,0,1,0%,10
Turks & Caicos Islands,0,1,0%,10
Uzbekistan,0,1,0%,10
Palestine,0,1,0%,11
Albania,0,1,0%,12
Bulgaria,0,1,0%,12
Latvia,0,1,0%,12
Madagascar,0,1,0%,14
Bosnia & Herzegovina,0,1,0%,17
Kosovo,0,1,0%,17
Finland,0,1,0%,45
Egypt,0,1,0%,51
